Company Name,Industry,Symbol,Series,ISIN Code
ACC LIMITED,CEMENT & CEMENT PRODUCTS,ACC,EQ,INE012A01025
ADANI ENTERPRISES LIMITED,SERVICES,ADANIENT,EQ,INE423A01024
ADANI PORT & SEZ LTD,SERVICES,ADANIPORTS,EQ,INE742F01042
ADANI POWER LTD,ENERGY,ADANIPOWER,EQ,INE814H01011
AJANTA PHARMA LIMITED,PHARMA,AJANTPHARM,EQ,INE031B01049
ALLAHABAD BANK,FINANCIAL SERVICES,ALBK,EQ,INE428A01015
AMARA RAJA BATTERIES LTD.,AUTOMOBILE,AMARAJABAT,EQ,INE885A01032
AMBUJA CEMENTS LTD,CEMENT & CEMENT PRODUCTS,AMBUJACEM,EQ,INE079A01024
APOLLO HOSPITALS ENTER. L,HEALTHCARE SERVICES,APOLLOHOSP,EQ,INE437A01024
APOLLO TYRES LTD,AUTOMOBILE,APOLLOTYRE,EQ,INE438A01022
ARVIND LIMITED,TEXTILES,ARVIND,EQ,INE034A01011
ASHOK LEYLAND LTD,AUTOMOBILE,ASHOKLEY,EQ,INE208A01029
ASIAN PAINTS LIMITED,CONSUMER GOODS,ASIANPAINT,EQ,INE021A01026
AUROBINDO PHARMA LTD,PHARMA,AUROPHARMA,EQ,INE406A01037
AXIS BANK LIMITED,FINANCIAL SERVICES,AXISBANK,EQ,INE238A01034
BAJAJ AUTO LIMITED,AUTOMOBILE,BAJAJ-AUTO,EQ,INE917I01010
BAJAJ FINANCE LIMITED,FINANCIAL SERVICES,BAJFINANCE,EQ,INE296A01024
BAJAJ FINSERV LIMITED,FINANCIAL SERVICES,BAJAJFINSV,EQ,INE918I01018
BALKRISHNA INDUSTRIES LIMITED,AUTOMOBILE,BALKRISIND,EQ,INE787D01026
BANK OF BARODA,FINANCIAL SERVICES,BANKBARODA,EQ,INE028A01039
BANK OF INDIA,FINANCIAL SERVICES,BANKINDIA,EQ,INE084A01016
BATA INDIA LTD,CONSUMER GOODS,BATAINDIA,EQ,INE176A01028
BEML LIMITED,INDUSTRIAL MANUFACTURING,BEML,EQ,INE258A01016
BERGER PAINTS (I) LIMITED,CONSUMER GOODS,BERGEPAINT,EQ,INE463A01038
BHARAT ELECTRONICS LTD,INDUSTRIAL MANUFACTURING,BEL,EQ,INE263A01024
BHARAT FIN INCLUSION LTD,FINANCIAL SERVICES,BHARATFIN,EQ,INE180K01011
BHARAT FORGE LTD,INDUSTRIAL MANUFACTURING,BHARATFORG,EQ,INE465A01025
BHARAT PETROLEUM CORP LT,ENERGY,BPCL,EQ,INE029A01011
BHARTI AIRTEL LIMITED,TELECOM,BHARTIARTL,EQ,INE397D01024
BHARTI INFRATEL LTD.,TELECOM,INFRATEL,EQ,INE121J01017
BHEL,INDUSTRIAL MANUFACTURING,BHEL,EQ,INE257A01026
BIOCON LIMITED.,PHARMA,BIOCON,EQ,INE376G01013
BOSCH LIMITED,AUTOMOBILE,BOSCHLTD,EQ,INE323A01026
BRITANNIA INDUSTRIES LTD,CONSUMER GOODS,BRITANNIA,EQ,INE216A01030
CADILA HEALTHCARE LIMITED,PHARMA,CADILAHC,EQ,INE010B01027
CAN FIN HOMES LIMITED,FINANCIAL SERVICES,CANFINHOME,EQ,INE477A01020
CANARA BANK,FINANCIAL SERVICES,CANBK,EQ,INE476A01014
CAPITAL FIRST LIMITED,FINANCIAL SERVICES,CAPF,EQ,INE688I01017
CASTROL INDIA LIMITED,ENERGY,CASTROLIND,EQ,INE172A01027
CEAT LIMITED,AUTOMOBILE,CEATLTD,EQ,INE482A01020
CENTURY TEXTILES LTD,CEMENT & CEMENT PRODUCTS,CENTURYTEX,EQ,INE055A01016
CESC LTD,ENERGY,CESC,EQ,INE486A01013
CG POWER AND INDUSTRIAL SOLUTIONS LIMITED,INDUSTRIAL MANUFACTURING,CGPOWER,EQ,INE067A01029
CHENNAI PETROLEUM CORPORATION LIMITED,ENERGY,CHENNPETRO,EQ,INE178A01016
CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,FINANCIAL SERVICES,CHOLAFIN,EQ,INE121A01016
CIPLA LTD,PHARMA,CIPLA,EQ,INE059A01026
COAL INDIA LTD,METALS,COALINDIA,EQ,INE522F01014
COLGATE PALMOLIVE LTD.,CONSUMER GOODS,COLPAL,EQ,INE259A01022
CONTAINER CORP OF IND LTD,SERVICES,CONCOR,EQ,INE111A01025
CUMMINS INDIA LTD,INDUSTRIAL MANUFACTURING,CUMMINSIND,EQ,INE298A01020
DABUR INDIA LTD,CONSUMER GOODS,DABUR,EQ,INE016A01026
DCB BANK LIMITED,FINANCIAL SERVICES,DCBBANK,EQ,INE503A01015
DEWAN HOUSING FIN CORP LT,FINANCIAL SERVICES,DHFL,EQ,INE202B01012
DISH TV INDIA LTD.,MEDIA & ENTERTAINMENT,DISHTV,EQ,INE836F01026
DIVI'S LABORATORIES LTD,PHARMA,DIVISLAB,EQ,INE361B01024
DLF LIMITED,CONSTRUCTION,DLF,EQ,INE271C01023
DR. REDDY'S LABORATORIES,PHARMA,DRREDDY,EQ,INE089A01023
EICHER MOTORS LTD,AUTOMOBILE,EICHERMOT,EQ,INE066A01013
ENGINEERS INDIA LTD,CONSTRUCTION,ENGINERSIN,EQ,INE510A01028
EQUITAS HOLDINGS LIMITED,FINANCIAL SERVICES,EQUITAS,EQ,INE988K01017
